"subject","cond","t","predictable","rt"
152,1,49,"1",1012
152,1,49,"3",828
152,1,50,"1",840
152,1,51,"1",1174
152,1,51,"3",526
152,1,52,"1",1319
152,1,52,"3",613
152,1,53,"1",940
152,1,53,"3",375
152,1,54,"1",813
152,1,54,"3",354
152,1,55,"1",863
152,1,55,"3",970
152,1,56,"1",754
152,1,56,"3",784
152,1,57,"1",1197
152,1,57,"3",400
152,1,58,"1",1129
152,1,58,"3",784
152,1,59,"1",894
152,1,59,"3",420
152,1,60,"1",808
152,1,60,"3",280
152,1,61,"1",712
152,1,61,"3",428
152,1,62,"1",736
152,1,62,"3",374
152,1,63,"1",746
152,1,63,"3",555
152,1,64,"1",803
152,1,64,"3",300
152,1,65,"1",792
152,1,65,"3",413
152,1,66,"1",744
152,1,66,"3",335
152,1,67,"1",802
152,1,67,"3",287
152,1,68,"1",879
152,1,68,"3",811
152,1,69,"1",830
152,1,69,"3",443
152,1,70,"3",333
152,1,71,"1",781
152,1,71,"3",398
152,1,72,"1",826
152,1,72,"3",453
40,2,1,"1",845
40,2,1,"3",1132
40,2,2,"1",757
40,2,2,"3",847
40,2,3,"1",822
40,2,3,"3",723
40,2,4,"1",822
40,2,4,"3",925
40,2,5,"1",942
40,2,5,"3",878
40,2,6,"1",1073
40,2,6,"3",845
40,2,7,"1",738
40,2,7,"3",741
40,2,8,"1",850
40,2,8,"3",718
40,2,9,"1",890
40,2,9,"3",709
40,2,10,"1",944
40,2,10,"3",732
40,2,11,"1",842
40,2,11,"3",838
40,2,12,"1",854
40,2,12,"3",880
40,2,13,"1",1285
40,2,13,"3",661
40,2,14,"1",684
40,2,14,"3",803
40,2,15,"1",1114
40,2,15,"3",713
40,2,16,"1",829
40,2,16,"3",795
40,2,17,"1",750
40,2,17,"3",754
40,2,18,"1",814
40,2,18,"3",714
40,2,19,"1",762
40,2,19,"3",680
40,2,20,"3",733
40,2,21,"1",795
40,2,21,"3",679
40,2,22,"1",771
40,2,22,"3",671
40,2,23,"1",738
40,2,23,"3",704
40,2,24,"1",755
40,2,24,"3",655
40,2,25,"1",966
40,2,25,"3",651
40,2,26,"1",764
40,2,26,"3",748
40,2,27,"1",810
40,2,27,"3",682
40,2,28,"1",680
40,2,28,"3",656
40,2,29,"1",878
40,2,29,"3",601
40,2,30,"1",797
40,2,30,"3",794
40,2,31,"1",812
40,2,31,"3",633
40,2,32,"1",784
40,2,32,"3",638
40,2,33,"1",740
40,2,33,"3",839
40,2,34,"1",803
40,2,34,"3",668
40,2,35,"1",760
40,2,35,"3",663
40,2,36,"1",777
40,2,36,"3",729
40,2,37,"1",828
40,2,37,"3",997
40,2,38,"1",786
40,2,38,"3",720
40,2,39,"1",689
40,2,39,"3",681
40,2,40,"1",756
40,2,40,"3",760
40,2,41,"1",779
40,2,41,"3",645
40,2,42,"1",856
40,2,42,"3",632
40,2,43,"1",820
40,2,43,"3",756
40,2,44,"1",810
40,2,44,"3",651
40,2,45,"1",911
40,2,45,"3",632
40,2,46,"1",688
40,2,46,"3",645
40,2,47,"1",789
40,2,47,"3",628
40,2,48,"1",803
40,2,48,"3",636
40,2,49,"1",762
40,2,49,"3",687
